doc_type,subject_code,semester,interview_round,participant_role,participant_id,speaker,turn_index,text
student,31266,Autumn,First,student,AUT-S01,AUT-S01,1,"That is fine. Interviewer: Yep, beautiful. Thank you. AUT-S01. Interviewer: Yeah. Thank you so much for taking part on this quick interview. I really appreciate it. And in regards to the voucher that you will get a separate UTS team will probably contact you during next week. Okay, just to give you this information as well."
student,31266,Autumn,First,student,AUT-S01,AUT-S01,2,"Yes. Interviewer: Okay, cool. Interviewer: Do you kind of have an understanding what this interview is about."
student,31266,Autumn,First,student,AUT-S01,AUT-S01,3,"Not really too much other than just like I'm gonna get questions asked about my opinions on generative AI or just AI in general. Interviewer: Yes, that's right. So this whole survey, or those interview questions, and also the research that we are doing currently as part of a teaching and learning grant that Amara got at the beginning of this year. So it's part of the UTS sphere, and there's 2 different subjects that we are piloting in, and you took one of the subjects in the past semester, which is the subject with Subject Coordinator-31266."
student,31266,Autumn,First,student,AUT-S01,AUT-S01,4,"Yeah. Interviewer: And you also did like an activity in Week 8, if I remember correctly, to use generative AI for this activity."
student,31266,Autumn,First,student,AUT-S01,AUT-S01,5,"Yeah. Interviewer: Yeah, and we're just trying to see how we could maybe guide students. The best. so the ultimate aim of our research is to see how we can guide students and also teaching staff at UTS in the best possible way in this new environment of generative AI and teaching, studying. And yeah, I just have like a couple of questions. I think in total it's like 10 main questions for you that all relate to some kind of experience with generative AI that you had in the past semester, especially within the subject that you had with Subject Coordinator-31266, if that's cool."
student,31266,Autumn,First,student,AUT-S01,AUT-S01,6,"Yeah, that's all right. Interviewer: Yeah, then, let's start. 1st question, how did you use generative AI tools? In this subject. So in Subject Coordinator-31266’s subject."
student,31266,Autumn,First,student,AUT-S01,AUT-S01,7,"So I, I guess…was probably more prevalent, like later on in the subject. But we got introduced to some AI like tools. I guess, specifically some like computer vision…what else was there? I just, I mainly remember computer vision as we got to use some of the tools and for assignment for one of our assignments and explain how it can be used for a specific like industry, we were researching. Interviewer: Yeah."
student,31266,Autumn,First,student,AUT-S01,AUT-S01,8,"Machine learning at 2. Interviewer: And have you used any other generative AI, like Copilot or ChatGPT for an assignment or class activity?"
student,31266,Autumn,First,student,AUT-S01,AUT-S01,9,"Like not like directly, however, on some of like the group projects some of my group members did use like ChatGPT, and Copilot, and we use those together to like, for like a class work, or tutorial work. Interviewer: Okay. Have you used Copilot or ChatGPT in other subjects at UTS?"
student,31266,Autumn,First,student,AUT-S01,AUT-S01,10,"At other subjects. I guess in like a similar way. Where like a group member, ask some generative AI like a quite like some sort of question, and then, based on that, we would go on from there. Interviewer: Do you have any reasons for yourself, why, you haven't used generative AI, tools frequently?"
