micro_theme,macro_theme,macro_label,macro_description
assessment integrity,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,"Themes related to academic honesty, detection of AI misuse, ethical concerns, and the redesign of assessments to uphold integrity in the context of generative AI."
assessment integrity and academic honesty,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,"Themes related to academic honesty, detection of AI misuse, ethical concerns, and the redesign of assessments to uphold integrity in the context of generative AI."
assessment integrity and detection of undeclared use,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,"Themes related to academic honesty, detection of AI misuse, ethical concerns, and the redesign of assessments to uphold integrity in the context of generative AI."
assignment redesign to limit unethical AI use,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,"Themes related to academic honesty, detection of AI misuse, ethical concerns, and the redesign of assessments to uphold integrity in the context of generative AI."
call for mandatory student ethics training,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,"Themes related to academic honesty, detection of AI misuse, ethical concerns, and the redesign of assessments to uphold integrity in the context of generative AI."
challenges verifying genuine understanding,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,"Themes related to academic honesty, detection of AI misuse, ethical concerns, and the redesign of assessments to uphold integrity in the context of generative AI."
difficulty detecting AI use at scale,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,"Themes related to academic honesty, detection of AI misuse, ethical concerns, and the redesign of assessments to uphold integrity in the context of generative AI."
ethical declaration and AI plagiarism awareness,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,"Themes related to academic honesty, detection of AI misuse, ethical concerns, and the redesign of assessments to uphold integrity in the context of generative AI."
fairness concerns about AI users gaining higher marks,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,"Themes related to academic honesty, detection of AI misuse, ethical concerns, and the redesign of assessments to uphold integrity in the context of generative AI."
importance of oral questioning to detect misuse,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,"Themes related to academic honesty, detection of AI misuse, ethical concerns, and the redesign of assessments to uphold integrity in the context of generative AI."
oral presentations as an authenticity check,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,"Themes related to academic honesty, detection of AI misuse, ethical concerns, and the redesign of assessments to uphold integrity in the context of generative AI."
plagiarism and lack of acknowledgment,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,"Themes related to academic honesty, detection of AI misuse, ethical concerns, and the redesign of assessments to uphold integrity in the context of generative AI."
prompt manipulation to game comparisons,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,"Themes related to academic honesty, detection of AI misuse, ethical concerns, and the redesign of assessments to uphold integrity in the context of generative AI."
shift toward oral and process-focused assessment,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,"Themes related to academic honesty, detection of AI misuse, ethical concerns, and the redesign of assessments to uphold integrity in the context of generative AI."
skepticism about effectiveness of student education alone,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,"Themes related to academic honesty, detection of AI misuse, ethical concerns, and the redesign of assessments to uphold integrity in the context of generative AI."
student over-reliance and non-acknowledgement,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,"Themes related to academic honesty, detection of AI misuse, ethical concerns, and the redesign of assessments to uphold integrity in the context of generative AI."
student over-reliance on AI in exams,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,"Themes related to academic honesty, detection of AI misuse, ethical concerns, and the redesign of assessments to uphold integrity in the context of generative AI."
clarity of institutional policies,policy_guidance_training,"Institutional Policy, Guidance, and Training","Themes addressing the clarity, consistency, and sufficiency of institutional policies, guidelines, and training for both students and staff regarding AI use."
clear institutional guidance and appendices,policy_guidance_training,"Institutional Policy, Guidance, and Training","Themes addressing the clarity, consistency, and sufficiency of institutional policies, guidelines, and training for both students and staff regarding AI use."
cross-institutional differences in AI policy enforcement,policy_guidance_training,"Institutional Policy, Guidance, and Training","Themes addressing the clarity, consistency, and sufficiency of institutional policies, guidelines, and training for both students and staff regarding AI use."
desire for clearer guidance on acceptable extent of AI use,policy_guidance_training,"Institutional Policy, Guidance, and Training","Themes addressing the clarity, consistency, and sufficiency of institutional policies, guidelines, and training for both students and staff regarding AI use."
desire for consistent and faculty-specific AI policies,policy_guidance_training,"Institutional Policy, Guidance, and Training","Themes addressing the clarity, consistency, and sufficiency of institutional policies, guidelines, and training for both students and staff regarding AI use."
desire for more training and lecture-level emphasis,policy_guidance_training,"Institutional Policy, Guidance, and Training","Themes addressing the clarity, consistency, and sufficiency of institutional policies, guidelines, and training for both students and staff regarding AI use."
desire for staff access to paid AI tools,policy_guidance_training,"Institutional Policy, Guidance, and Training","Themes addressing the clarity, consistency, and sufficiency of institutional policies, guidelines, and training for both students and staff regarding AI use."
desire for task-specific in-class guidance,policy_guidance_training,"Institutional Policy, Guidance, and Training","Themes addressing the clarity, consistency, and sufficiency of institutional policies, guidelines, and training for both students and staff regarding AI use."
desire for university-provided examples and resources,policy_guidance_training,"Institutional Policy, Guidance, and Training","Themes addressing the clarity, consistency, and sufficiency of institutional policies, guidelines, and training for both students and staff regarding AI use."
institutional AI infrastructure and governance,policy_guidance_training,"Institutional Policy, Guidance, and Training","Themes addressing the clarity, consistency, and sufficiency of institutional policies, guidelines, and training for both students and staff regarding AI use."
institutional guidelines and disclaimers,policy_guidance_training,"Institutional Policy, Guidance, and Training","Themes addressing the clarity, consistency, and sufficiency of institutional policies, guidelines, and training for both students and staff regarding AI use."
insufficient institutional training and resources,policy_guidance_training,"Institutional Policy, Guidance, and Training","Themes addressing the clarity, consistency, and sufficiency of institutional policies, guidelines, and training for both students and staff regarding AI use."
insufficient staff training on ethical AI use,policy_guidance_training,"Institutional Policy, Guidance, and Training","Themes addressing the clarity, consistency, and sufficiency of institutional policies, guidelines, and training for both students and staff regarding AI use."
lack of institutional guidelines and training,policy_guidance_training,"Institutional Policy, Guidance, and Training","Themes addressing the clarity, consistency, and sufficiency of institutional policies, guidelines, and training for both students and staff regarding AI use."
limited ethical guideline effectiveness,policy_guidance_training,"Institutional Policy, Guidance, and Training","Themes addressing the clarity, consistency, and sufficiency of institutional policies, guidelines, and training for both students and staff regarding AI use."
need for AI-use disclosure and transparency,policy_guidance_training,"Institutional Policy, Guidance, and Training","Themes addressing the clarity, consistency, and sufficiency of institutional policies, guidelines, and training for both students and staff regarding AI use."
need for clearer AI use and plagiarism guidelines,policy_guidance_training,"Institutional Policy, Guidance, and Training","Themes addressing the clarity, consistency, and sufficiency of institutional policies, guidelines, and training for both students and staff regarding AI use."
need for clearer guidelines and procedures,policy_guidance_training,"Institutional Policy, Guidance, and Training","Themes addressing the clarity, consistency, and sufficiency of institutional policies, guidelines, and training for both students and staff regarding AI use."
need for clearer purpose of AI integration,policy_guidance_training,"Institutional Policy, Guidance, and Training","Themes addressing the clarity, consistency, and sufficiency of institutional policies, guidelines, and training for both students and staff regarding AI use."
"need for controlled, course-specific AI tools",policy_guidance_training,"Institutional Policy, Guidance, and Training","Themes addressing the clarity, consistency, and sufficiency of institutional policies, guidelines, and training for both students and staff regarding AI use."
need for explicit AI guidelines and expectations,policy_guidance_training,"Institutional Policy, Guidance, and Training","Themes addressing the clarity, consistency, and sufficiency of institutional policies, guidelines, and training for both students and staff regarding AI use."
need for formal tutor training and institutional guidelines,policy_guidance_training,"Institutional Policy, Guidance, and Training","Themes addressing the clarity, consistency, and sufficiency of institutional policies, guidelines, and training for both students and staff regarding AI use."
