role,participant_id,theme,quote
student,AUT-S01,preference for traditional learning methods,I don't think to use Generate AI as 1st before anything else.
student,AUT-S01,preference for traditional learning methods,I would 1st like go to like Google or something.
student,AUT-S01,preference for traditional learning methods,"I had to like, still do the, I guess old fashioned researching and whatnot to like actually understand it."
student,AUT-S01,speed and efficiency,It definitely made it way faster. That's for sure.
student,AUT-S01,speed and efficiency,it definitely made it just easier to just look at the larger surface of the topic
student,AUT-S01,concerns about accuracy,I would sometimes like double check that with other sources that I read myself
student,AUT-S01,concerns about accuracy,"I always saw it with like some scepticism like, no matter what"
student,AUT-S01,concerns about accuracy,also like the accuracy and reliability
student,AUT-S01,systematic verification of AI outputs,I would sometimes like double check that with other sources that I read myself.
student,AUT-S01,systematic verification of AI outputs,then I guess that's how I would double check it.
student,AUT-S01,systematic verification of AI outputs,"do what should I fact-checked it? Or like something, for, like AI"
student,AUT-S01,over-reliance risk in group work,they would like immediately put it to ChatGPT or something like that and give that back
student,AUT-S01,over-reliance risk in group work,"I would like to keep it more like the background, because I guess it's pretty easy to just like get out an answer and not understand it"
student,AUT-S01,need for clearer AI use and plagiarism guidelines,It didn't really give me specific/super specific guidelines on when using generative AI.
student,AUT-S01,need for clearer AI use and plagiarism guidelines,where is where's the line between what's okay and what's not okay.
student,AUT-S01,need for clearer AI use and plagiarism guidelines,"the regular plagiarism guidelines doesn't really explicitly say, like, if that's okay."
student,AUT-S01,surface-level understanding versus deep learning,it's pretty easy to just like get out an answer and not understand it
student,AUT-S01,surface-level understanding versus deep learning,"this is still fairly general, and I wanna like go a little bit more deeper into it"
student,AUT-S01,surface-level understanding versus deep learning,it definitely made it just easier to just look at the larger surface of the topic before diving deeper
student,AUT-S01,"tool-specific policy awareness (Copilot allowed, others restricted)",you may specifically use Microsoft Copilot in like helping your assessments
student,AUT-S01,"tool-specific policy awareness (Copilot allowed, others restricted)","However, the other, I guess other tools aren't allowed unless told so"
student,AUT-S01,"tool-specific policy awareness (Copilot allowed, others restricted)","there was some examples of explicit saying of like, where you're allowed to use. AI"
student,AUT-S02,speed and efficiency,instead of the 3 min that it takes me to type in a chat question
student,AUT-S02,speed and efficiency,"rather than you know, asking person to person communication"
student,AUT-S02,concerns about over-reliance,I can't rely quite heavily on this to provide examples.
student,AUT-S02,concerns about over-reliance,"AI is so good that it's bad, in my opinion."
student,AUT-S02,concerns about over-reliance,it's more about using it in a way that benefits us and not relying on it.
student,AUT-S02,mixed feelings about learning benefits,"it wasn't fully across the board, but like it was 85% across the board"
student,AUT-S02,mixed feelings about learning benefits,it's not a definite yes or no. It's just kind of like a…I don't know
student,AUT-S02,clarity of institutional policies,"between the list of policies being so easy to access, and it being very simple to use"
student,AUT-S02,clarity of institutional policies,"I don't think I've ever really had a doubt about how to use it, or when to use it"
student,AUT-S02,clarity of institutional policies,how to use it effectively without getting in trouble for is what I'd say
student,AUT-S02,case-by-case critical evaluation,"I think, like it comes down case by case in my opinion."
student,AUT-S02,case-by-case critical evaluation,"I'd use, like my own intuition, sort of as the main base."
student,AUT-S02,desire for task-specific in-class guidance,"I think that goes back a little bit to my having like subjects, or I guess assignment specific AI uses."
student,AUT-S02,desire for task-specific in-class guidance,"literally in class, I would love to learn about a teacher saying, don't use, you know, ChatGPT to create your reflection for this assignment, use this other platform"
student,AUT-S02,desire for task-specific in-class guidance,I'd love to like it be extended a little bit more about what applications they all have that we learned about.
student,AUT-S02,business and real-world application of AI tools,more situations and sort of business environments where we would use the different AI machines
student,AUT-S02,business and real-world application of AI tools,I'd love to like it be extended a little bit more about what applications they all have that we learned about
student,SPR-S01,groundwork and efficiency,it's great at doing what I would call ground work
student,SPR-S01,groundwork and efficiency,that's what allowed us to be a bit quicker when it came to getting classwork done
student,SPR-S01,clear separation between AI support and own thinking,"you can use it to supplement your thinking, but claiming it as your own, definitely not"
student,SPR-S01,clear separation between AI support and own thinking,"that's not content that I'm making, that's content that's something else or someone else is making"
student,SPR-S01,clear separation between AI support and own thinking,"I want it to be my work and not the work of, you know, an algorithm"
student,SPR-S01,systematic cross-checking and handling hallucinations,"using it as a way to force or to get students to actually fact-check what they read, look at the reliability and the validity of it"
student,SPR-S01,systematic cross-checking and handling hallucinations,"once I had, I guess, uncovered the hallucination, or where it said basically the wrong thing, I kind of called it out"
student,SPR-S01,systematic cross-checking and handling hallucinations,"holding it accountable, and then rechecking for those information, for the information that it's made wrong"
