role,participant_id,micro_theme,macro_theme,macro_label,quote
student,AUT-S01,preference for traditional learning methods,student_engagement_motivation,"Student Engagement, Motivation, and Attitudes",I don't think to use Generate AI as 1st before anything else.
student,AUT-S01,preference for traditional learning methods,student_engagement_motivation,"Student Engagement, Motivation, and Attitudes",I would 1st like go to like Google or something.
student,AUT-S01,preference for traditional learning methods,student_engagement_motivation,"Student Engagement, Motivation, and Attitudes",it's mainly preference for traditional learning methods.
student,AUT-S01,speed and efficiency,staff_experience_professional_use,Staff Experience and Professional Use of AI,It definitely made it way faster. That's for sure.
student,AUT-S01,speed and efficiency,staff_experience_professional_use,Staff Experience and Professional Use of AI,"Yeah, it definitely made it just easier to just look at the larger surface of the topic before diving deeper."
student,AUT-S01,concerns about accuracy,accuracy_limitations_reliability,"AI Accuracy, Limitations, and Reliability","sometimes they'd show like a case study, or like a news article of like of a AI tool being like either wrong or used incorrectly"
student,AUT-S01,concerns about accuracy,accuracy_limitations_reliability,"AI Accuracy, Limitations, and Reliability",I would sometimes like double check that with other sources that I read myself
student,AUT-S01,concerns about accuracy,accuracy_limitations_reliability,"AI Accuracy, Limitations, and Reliability","I always saw it with like some scepticism like, no matter what"
student,AUT-S01,systematic verification of AI outputs,critical_evaluation_reflection,Critical Evaluation and Reflective Practice,I would sometimes like double check that with other sources that I read myself
student,AUT-S01,systematic verification of AI outputs,critical_evaluation_reflection,Critical Evaluation and Reflective Practice,"I would also, like, you know, double check the source that I'm checking it from, like, you know, with the classic methods"
student,AUT-S01,over-reliance risk in group work,accuracy_limitations_reliability,"AI Accuracy, Limitations, and Reliability",I guess it's pretty easy to just like get out an answer and not understand it.
student,AUT-S01,over-reliance risk in group work,accuracy_limitations_reliability,"AI Accuracy, Limitations, and Reliability","on some of like the group projects some of my group members did use like ChatGPT, and Copilot, and we use those together"
student,AUT-S01,need for clearer AI use and plagiarism guidelines,policy_guidance_training,"Institutional Policy, Guidance, and Training",It didn't really give me specific/super specific guidelines on when using generative AI.
